"Path","Size","LastWriteTime","Sha256","Type","TypeHint","Class"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\3rdpartylicenses.txt","1307016","13.08.2025 15:03:41","29545806c83944b905b9827d01cb6aedc831c7ee722420438cee1192e65a7199","text/plain","ext: .txt","Text"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\addressbook-addressbook-module-ngfactory.af914818ae8270c98a4c.js","52034","20.08.2025 01:55:56","b13468dfc548b7b32cdc5588f153e8fac5a82ec749521c104ce1b770e613ef19","text/javascript","ext: .js","Text"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\apps-main-src-app-earlypopups-earlypopups-module-ngfactory.6db2372aff13fa2a24c7.js","685844","20.08.2025 01:55:56","74917cadff59772e5fbbdd87ebcb3a742a676f0cc589be68bbb5312e4f4a3aa7","text/javascript","ext: .js","Text"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\apps-main-src-app-lower-display-lower-display-module-ngfactory.8545688ea51659c9aa42.js","135354","20.08.2025 01:55:57","111467ab965ee55f1d21f9f464211792f55032ee9466c2a7f8f6ac759728d6db","text/javascript","ext: .js","Text"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\apps-main-src-app-popups-popups-module-ngfactory.73cd54e81ad7af6cba4f.js","4680804","20.08.2025 01:55:59","cc12afdf21f057be9eb28d187d7fcc5a1e532a273a881d3daf6c19d66692523f","text/javascript","ext: .js","Text"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\asi-fpk-fpk-asi-module-ngfactory.8e1d16ebf6929ecd8498.js","88902","20.08.2025 01:55:59","1738f10b8db4f5e80e741295824410499a318862f8e120c89b6710f18c663fbb","text/javascript","ext: .js","Text"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\asi-main-asi-module-ngfactory.c972aef7e57b5698e617.js","118375","20.08.2025 01:55:59","4fd51f83a77e252701efabb0dc8c4cfe34bd59ec20662de7418db2dd4ebf8582","text/javascript","ext: .js","Text"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\asterix-asterix-module-ngfactory.23bd004d3bca85486c2f.js","5443","20.08.2025 01:55:59","760f21641049b614c30d1f4b924587a25e1dbb71277cda96d205ed8e9fc6bf10","text/javascript","ext: .js","Text"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\asterix-media-fpk-fpk-asterix-media-module-ngfactory.a6eec22b75e380e478fa.js","95428","20.08.2025 01:55:59","37362c17905ee88e247fd4e8d3eef72ff12567c7a0bedb51da8d819c15cd6e9a","text/javascript","ext: .js","Text"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\benchmark-benchmark-module-ngfactory.316eab844bea7a6ab28a.js","128304","20.08.2025 01:55:59","4bd8b29ecd565756d8058d497ad0139889c0122178c4512fd7dba7b06fbdde81","text/javascript","ext: .js","Text"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\car-car-module-ngfactory.aa9ca3f1a6b33fa17c03.js","3681980","20.08.2025 01:56:01","219eb8954c0164990483b3c2179b8075f930250323913fc562dc8e0d16c3e6d0","text/javascript","ext: .js","Text"
