"FullName","Length","LastWriteTime"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\ar_SA.json.gz","290343","13.08.2025 15:03:50"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\bs_BA.json.gz","272647","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\cs_CZ.json.gz","274801","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\da_DK.json.gz","262181","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\de_DE.json.gz","257426","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\el_GR.json.gz","328657","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\en_CN.json.gz","244454","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\en_GB.json.gz","254433","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\en_JP.json.gz","244555","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\en_KR.json.gz","244102","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\en_SA.json.gz","254433","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\en_TW.json.gz","244327","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\en_US.json.gz","243943","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\es_ES.json.gz","269504","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\es_MX.json.gz","271914","13.08.2025 15:03:51"
