"File","Encoding","String"
".\audi\esel\W772_VehicleTiltAngle\gyro_AU31627.iaa","ASCII","!'&!%!#')3CMibF6AB:?"
".\audi\esel\W772_VehicleTiltAngle\gyro_AU31627.iaa","ASCII","??AQPOQNE<<@@<>=<>BHOSTTSSRQPPFA;<@CA=CFJORSSRSPLGC@>><GH<6?ECMNMIB><=C?;<AFJJQH>:<?/?=AEHKLMI?'?HG69=BFIJK"
".\audi\esel\W772_VehicleTiltAngle\gyro_AU31627.iaa","ASCII","?JKMIB%??O`?"
".\audi\esel\W772_VehicleTiltAngle\gyro_AU31627.iaa","ASCII","?kmnlmIbplmk/h"
".\audi\esel\W772_VehicleTiltAngle\gyro_AU31627.iaa","ASCII",".8998AUdii"
".\audi\esel\W772_VehicleTiltAngle\gyro_AU31627.iaa","ASCII","{plooh_YWVTQMIB>:6B6 !"
".\audi\esel\W772_VehicleTiltAngle\gyro_AU31627.iaa","ASCII","#version 300 es"
".\audi\esel\W772_VehicleTiltAngle\gyro_AU31627.iaa","ASCII","+DRgrsmovjcfd^]dlmibkoa`mrwsf"
".\audi\esel\W772_VehicleTiltAngle\gyro_AU31627.iaa","ASCII",">?2@MIBF;!???????????7"
".\audi\esel\W772_VehicleTiltAngle\gyro_AU31627.iaa","ASCII","rkbUOMIB9+)'#"
".\audi\esel\W772_VehicleTiltAngle\gyro_AU53636.iaa","ASCII","?poomib^TJ>)"
".\audi\esel\W772_VehicleTiltAngle\gyro_AU53636.iaa","ASCII",")LDJMNMIB9/985-@O*,,&(*(*?"
".\audi\esel\W772_VehicleTiltAngle\gyro_AU53636.iaa","ASCII","#version 300 es"
".\audi\esel\W772_VehicleTiltAngle\gyro_AU53636.iaa","ASCII","8pDEMIBHI?"
".\audi\esel\W772_VehicleTiltAngle\gyro_AU53636.iaa","ASCII","CTVUK??3PVU?baUK@2@J???MMIBF^["
".\audi\esel\W772_VehicleTiltAngle\gyro_AU53636.iaa","ASCII","eIA{{}~MIB?????0"
".\audi\esel\W772_VehicleTiltAngle\gyro_AU53636.iaa","ASCII","ghjmmib_^[TQZcjo"
".\audi\esel\W772_VehicleTiltAngle\gyro_AU53636.iaa","ASCII","h?TMIB:4-*"
".\audi\esel\W772_VehicleTiltAngle\gyro_AU53636.iaa","ASCII","NMIB:??B>5BTlwl^Ob]>Xrvj_TB<?@<ELDEG???"
".\audi\esel\W772_VehicleTiltAngle\gyro_AU53636.iaa","ASCII","wruuka]\XOLMIB<75?c0$*1m??776AVr"
